"","station_id","month","day","temperature","flag","date"
"1","USC00136199","01","1",15.9,"Q",0000-01-01
"2","USC00136199","01","2",15.8,"Q",0000-01-02
"3","USC00136199","01","3",15.7,"Q",0000-01-03
"4","USC00136199","01","4",15.7,"Q",0000-01-04
"5","USC00136199","01","5",15.6,"Q",0000-01-05
"6","USC00136199","01","6",15.6,"Q",0000-01-06
"7","USC00136199","01","7",15.5,"Q",0000-01-07
"8","USC00136199","01","8",15.5,"Q",0000-01-08
"9","USC00136199","01","9",15.5,"Q",0000-01-09
"10","USC00136199","01","10",15.5,"Q",0000-01-10
"11","USC00136199","01","11",15.5,"Q",0000-01-11
"12","USC00136199","01","12",15.5,"Q",0000-01-12
"13","USC00136199","01","13",15.5,"Q",0000-01-13
"14","USC00136199","01","14",15.5,"Q",0000-01-14
"15","USC00136199","01","15",15.5,"Q",0000-01-15
"16","USC00136199","01","16",15.5,"Q",0000-01-16
"17","USC00136199","01","17",15.6,"Q",0000-01-17
"18","USC00136199","01","18",15.6,"Q",0000-01-18
"19","USC00136199","01","19",15.7,"Q",0000-01-19
"20","USC00136199","01","20",15.7,"Q",0000-01-20
"21","USC00136199","01","21",15.8,"Q",0000-01-21
"22","USC00136199","01","22",15.9,"Q",0000-01-22
"23","USC00136199","01","23",16,"Q",0000-01-23
"24","USC00136199","01","24",16.1,"Q",0000-01-24
"25","USC00136199","01","25",16.2,"Q",0000-01-25
"26","USC00136199","01","26",16.3,"Q",0000-01-26
"27","USC00136199","01","27",16.4,"Q",0000-01-27
"28","USC00136199","01","28",16.5,"Q",0000-01-28
"29","USC00136199","01","29",16.6,"Q",0000-01-29
"30","USC00136199","01","30",16.8,"Q",0000-01-30
"31","USC00136199","01","31",16.9,"Q",0000-01-31
"32","USC00136199","02","1",17.1,"Q",0000-02-01
"33","USC00136199","02","2",17.2,"Q",0000-02-02
"34","USC00136199","02","3",17.4,"Q",0000-02-03
"35","USC00136199","02","4",17.6,"Q",0000-02-04
"36","USC00136199","02","5",17.8,"Q",0000-02-05
"37","USC00136199","02","6",18,"Q",0000-02-06
"38","USC00136199","02","7",18.2,"Q",0000-02-07
"39","USC00136199","02","8",18.4,"Q",0000-02-08
"40","USC00136199","02","9",18.7,"Q",0000-02-09
"41","USC00136199","02","10",18.9,"Q",0000-02-10
"42","USC00136199","02","11",19.2,"Q",0000-02-11
"43","USC00136199","02","12",19.5,"Q",0000-02-12
"44","USC00136199","02","13",19.8,"Q",0000-02-13
"45","USC00136199","02","14",20.1,"Q",0000-02-14
"46","USC00136199","02","15",20.4,"Q",0000-02-15
"47","USC00136199","02","16",20.7,"Q",0000-02-16
"48","USC00136199","02","17",21.1,"Q",0000-02-17
"49","USC00136199","02","18",21.4,"Q",0000-02-18
"50","USC00136199","02","19",21.8,"Q",0000-02-19
"51","USC00136199","02","20",22.2,"Q",0000-02-20
"52","USC00136199","02","21",22.6,"Q",0000-02-21
"53","USC00136199","02","22",23,"Q",0000-02-22
"54","USC00136199","02","23",23.4,"Q",0000-02-23
"55","USC00136199","02","24",23.8,"Q",0000-02-24
"56","USC00136199","02","25",24.3,"Q",0000-02-25
"57","USC00136199","02","26",24.7,"Q",0000-02-26
"58","USC00136199","02","27",25.2,"Q",0000-02-27
"59","USC00136199","02","28",25.6,"Q",0000-02-28
"60","USC00136199","02","29",25.9,"Q",0000-02-29
"61","USC00136199","03","1",26.1,"Q",0000-03-01
"62","USC00136199","03","2",26.6,"Q",0000-03-02
"63","USC00136199","03","3",27.1,"Q",0000-03-03
"64","USC00136199","03","4",27.5,"Q",0000-03-04
"65","USC00136199","03","5",28,"Q",0000-03-05
"66","USC00136199","03","6",28.5,"Q",0000-03-06
"67","USC00136199","03","7",29,"Q",0000-03-07
"68","USC00136199","03","8",29.5,"Q",0000-03-08
"69","USC00136199","03","9",30,"Q",0000-03-09
"70","USC00136199","03","10",30.6,"Q",0000-03-10
"71","USC00136199","03","11",31.1,"Q",0000-03-11
"72","USC00136199","03","12",31.6,"Q",0000-03-12
"73","USC00136199","03","13",32.1,"Q",0000-03-13
"74","USC00136199","03","14",32.6,"Q",0000-03-14
"75","USC00136199","03","15",33.1,"Q",0000-03-15
"76","USC00136199","03","16",33.6,"Q",0000-03-16
"77","USC00136199","03","17",34.1,"Q",0000-03-17
"78","USC00136199","03","18",34.6,"Q",0000-03-18
"79","USC00136199","03","19",35.1,"Q",0000-03-19
"80","USC00136199","03","20",35.6,"Q",0000-03-20
"81","USC00136199","03","21",36.1,"Q",0000-03-21
"82","USC00136199","03","22",36.5,"Q",0000-03-22
"83","USC00136199","03","23",37,"Q",0000-03-23
"84","USC00136199","03","24",37.5,"Q",0000-03-24
"85","USC00136199","03","25",37.9,"Q",0000-03-25
"86","USC00136199","03","26",38.4,"Q",0000-03-26
"87","USC00136199","03","27",38.9,"Q",0000-03-27
"88","USC00136199","03","28",39.3,"Q",0000-03-28
"89","USC00136199","03","29",39.8,"Q",0000-03-29
"90","USC00136199","03","30",40.2,"Q",0000-03-30
"91","USC00136199","03","31",40.6,"Q",0000-03-31
"92","USC00136199","04","1",41.1,"Q",0000-04-01
"93","USC00136199","04","2",41.5,"Q",0000-04-02
"94","USC00136199","04","3",41.9,"Q",0000-04-03
"95","USC00136199","04","4",42.3,"Q",0000-04-04
"96","USC00136199","04","5",42.7,"Q",0000-04-05
"97","USC00136199","04","6",43.2,"Q",0000-04-06
"98","USC00136199","04","7",43.6,"Q",0000-04-07
"99","USC00136199","04","8",44,"Q",0000-04-08
"100","USC00136199","04","9",44.4,"Q",0000-04-09
"101","USC00136199","04","10",44.8,"Q",0000-04-10
"102","USC00136199","04","11",45.2,"Q",0000-04-11
"103","USC00136199","04","12",45.6,"Q",0000-04-12
"104","USC00136199","04","13",45.9,"Q",0000-04-13
"105","USC00136199","04","14",46.3,"Q",0000-04-14
"106","USC00136199","04","15",46.7,"Q",0000-04-15
"107","USC00136199","04","16",47.1,"Q",0000-04-16
"108","USC00136199","04","17",47.5,"Q",0000-04-17
"109","USC00136199","04","18",47.9,"Q",0000-04-18
"110","USC00136199","04","19",48.3,"Q",0000-04-19
"111","USC00136199","04","20",48.7,"Q",0000-04-20
"112","USC00136199","04","21",49.1,"Q",0000-04-21
"113","USC00136199","04","22",49.5,"Q",0000-04-22
