"","country","year","emissions"
"1","Afghanistan",1950,0.010345801
"2","Albania",1950,0.244444042
"3","Algeria",1950,0.432727975
"4","Angola",1950,0.045087304
"5","Argentina",1950,1.746282701
"6","Australia",1950,6.699445036
"7","Austria",1950,3.015185252
"8","Bahamas",1950,0.695427878
"9","Bahrain",1950,11.95665963
"10","Bangladesh",1950,0.026225469
"11","Barbados",1950,0.347559579
"12","Belgium",1950,8.839361484
"13","Belize",1950,0.266016619
"14","Bermuda",1950,1.180891036
"15","Bolivia",1950,0.182412488
"16","Brazil",1950,0.364596577
"17","Brunei",1950,8.631764616
"18","Bulgaria",1950,1.035121735
"19","Cameroon",1950,0.031195215
"20","Canada",1950,11.2292859
"21","Cape Verde",1950,0.57657172
"22","Chile",1950,1.390841165
"23","China",1950,0.142899568
"24","Colombia",1950,0.625493072
"25","Congo, Dem. Rep.",1950,0.121583597
"26","Costa Rica",1950,0.296061655
"27","Cuba",1950,0.947635615
"28","Cyprus",1950,0.541820002
"29","Denmark",1950,5.15603121
"30","Djibouti",1950,0.177416493
"31","Ecuador",1950,0.218656217
"32","Egypt",1950,0.47618554
"33","El Salvador",1950,0.121672363
"34","Equatorial Guinea",1950,0.048772701
"35","Ethiopia",1950,0.004773822
"36","Faeroe Islands",1950,1.280260708
"37","Fiji",1950,0.418695263
"38","Finland",1950,1.634404697
"39","France",1950,4.839738567
"40","French Guiana",1950,0.287818727
"41","Gambia",1950,0.054046352
"42","Germany",1950,7.474474256
"43","Ghana",1950,0.128089841
"44","Gibraltar",1950,5.724414955
"45","Greece",1950,0.546171324
"46","Greenland",1950,4.30472215
"47","Grenada",1950,0.095640531
"48","Guadeloupe",1950,0.29682681
"49","Guatemala",1950,0.196965127
"50","Guinea-Bissau",1950,0.014152342
"51","Guyana",1950,0.64032874
"52","Haiti",1950,0.035286213
"53","Honduras",1950,0.202164867
"54","Hong Kong, China",1950,0.668693687
"55","Hungary",1950,1.971215752
"56","Iceland",1950,5.179559621
"57","India",1950,0.179173955
"58","Indonesia",1950,0.131454039
"59","Iran",1950,0
"60","Iraq",1950,0.288502292
"61","Ireland",1950,3.341808861
"62","Israel",1950,1.329125496
"63","Italy",1950,0.894627827
"64","Jamaica",1950,0.193409443
"65","Japan",1950,1.248592803
"66","Jordan",1950,0.383934744
"67","Kenya",1950,0.14964122
"68","Kuwait",1950,2.528719023
"69","Lebanon",1950,1.021606209
"70","Liberia",1950,0.052315414
"71","Libya",1950,0.138968523
"72","Luxembourg",1950,25.08437471
"73","Madagascar",1950,0.074526585
"74","Malta",1950,0.787400734
"75","Martinique",1950,0.247746632
"76","Mauritius",1950,0.408849531
"77","Mexico",1950,1.095823004
"78","Mongolia",1950,0.366572674
"79","Morocco",1950,0.286272758
"80","Mozambique",1950,0.140015737
"81","Myanmar",1950,0.046801668
"82","Nepal",1950,0.003118296
"83","Netherlands",1950,5.118755303
"84","New Caledonia",1950,3.393804764
"85","New Zealand",1950,4.494931257
"86","Nicaragua",1950,0.147233743
"87","Nigeria",1950,0.059658791
"88","Norway",1950,2.585196529
"89","Pakistan",1950,0.142786037
"90","Panama",1950,0.601098487
"91","Papua New Guinea",1950,0.032197786
"92","Paraguay",1950,0.042310229
"93","Peru",1950,0.595701264
"94","Philippines",1950,0.19612405
"95","Poland",1950,4.520407988
"96","Portugal",1950,0.668253224
"97","Qatar",1950,14.08112649
"98","Reunion",1950,0.103448322
"99","Romania",1950,1.191425156
"100","Russia",1950,4.106827562
"101","Samoa",1950,0.044659895
"102","Saudi Arabia",1950,1.648118525
"103","Sierra Leone",1950,0.083183454
"104","Slovak Republic",1950,5.44116719
"105","Somalia",1950,0.021053428
"106","South Africa",1950,4.464099745
"107","Spain",1950,1.178125277
"108","Sri Lanka",1950,0.197557879
"109","Sudan",1950,0.075241776
"110","Suriname",1950,0.989151888
"111","Swaziland",1950,0.013431013
"112","Sweden",1950,4.089582156
"113","Switzerland",1950,2.194617297
"114","Syria",1950,0.121386837
"115","Taiwan",1950,0.474585474
"116","Tanzania",1950,0.065187179
"117","Thailand",1950,0.046439802
"118","Togo",1950,0.018393005
"119","Tonga",1950,0.155301426
"120","Trinidad and Tobago",1950,3.701263681
"121","Tunisia",1950,0.345930766
"122","Turkey",1950,0.447144029
"123","Uganda",1950,0.020614454
"124","United Kingdom",1950,9.894187897
"125","United States",1950,16.08097785
"126","Uruguay",1950,1.097458156
"127","Venezuela",1950,7.520192886
"128","Afghanistan",1951,0.011075107
"129","Albania",1951,0.325276424
"130","Algeria",1951,0.46194881
"131","Angola",1951,0.059093082
"132","Argentina",1951,1.9989667
"133","Australia",1951,7.034238491
"134","Austria",1951,3.359955768
"135","Bahamas",1951,0.825185667
"136","Bahrain",1951,10.07188088
"137","Bangladesh",1951,0.03137625
"138","Barbados",1951,0.51003139
"139","Belgium",1951,10.33180178
"140","Belize",1951,0.360755431
"141","Bermuda",1951,1.552315685
"142","Bolivia",1951,0.166909926
"143","Brazil",1951,0.38946271
"144","Brunei",1951,5.887344168
"145","Bulgaria",1951,1.122270191
"146","Cameroon",1951,0.040297787
"147","Canada",1951,11.52001876
"148","Cape Verde",1951,0.423137371
"149","Chile",1951,1.613033244
"150","China",1951,0.179800255
"151","Colombia",1951,0.662079768
"152","Congo, Dem. Rep.",1951,0.140577328
"153","Costa Rica",1951,0.313467538
"154","Cuba",1951,1.070316829
"155","Cyprus",1951,0.564241229
"156","Denmark",1951,5.093012235
"157","Djibouti",1951,0.404428758
"158","Dominica",1951,0.070913756
"159","Ecuador",1951,0.20256224
"160","Egypt",1951,0.479441154
"161","El Salvador",1951,0.144286078
"162","Equatorial Guinea",1951,0.047814237
"163","Ethiopia",1951,0.003317662
"164","Faeroe Islands",1951,1.288440242
"165","Fiji",1951,0.445638816
"166","Finland",1951,1.971865971
"167","France",1951,5.445773018
"168","French Guiana",1951,0.419447092
"169","Gambia",1951,0.053730352
"170","Germany",1951,8.40222282
"171","Ghana",1951,0.172203781
"172","Gibraltar",1951,4.973919222
"173","Greece",1951,0.59890618
"174","Greenland",1951,4.22192844
"175","Grenada",1951,0.143567522
"176","Guadeloupe",1951,0.309715203
"177","Guatemala",1951,0.196969145
"178","Guinea-Bissau",1951,0.00695191
"179","Guyana",1951,0.675361354
"180","Haiti",1951,0.040298551
"181","Honduras",1951,0.228427883
