"","date","state","unemploy_perc","house_price_index","house_price_perc"
"1",1976-01-01,"Alabama",6.7,37.138285042,0.0404054050965774
"2",1976-02-01,"Alabama",6.7,37.756436852,0.0518059726683189
"3",1976-03-01,"Alabama",6.6,38.276319431,0.0593023288753158
"4",1976-04-01,"Alabama",6.5,38.596134722,0.0595845766282248
"5",1976-05-01,"Alabama",6.4,38.740517151,0.0557233813668219
"6",1976-06-01,"Alabama",6.5,38.797231104,0.0535936751810535
"7",1976-07-01,"Alabama",6.6,38.856954979,0.0574166905296527
"8",1976-08-01,"Alabama",6.8,38.918701217,0.0659219769626349
"9",1976-09-01,"Alabama",6.9,38.958367525,0.0745613417413586
"10",1976-10-01,"Alabama",7,39.018757584,0.0796768175331617
"11",1976-11-01,"Alabama",7.2,39.159407504,0.0803351104110581
"12",1976-12-01,"Alabama",7.3,39.316048066,0.0744390540294955
"13",1977-01-01,"Alabama",7.5,39.393663789,0.0607292109597783
"14",1977-02-01,"Alabama",7.7,39.416713327,0.0439733357654497
"15",1977-03-01,"Alabama",7.8,39.450967435,0.0306886352047908
"16",1977-04-01,"Alabama",7.9,39.609240892,0.0262489023135917
"17",1977-05-01,"Alabama",7.8,39.921331167,0.0304800788125132
"18",1977-06-01,"Alabama",7.6,40.340456375,0.0397766857862416
"19",1977-07-01,"Alabama",7.4,40.848171673,0.0512447950457298
"20",1977-08-01,"Alabama",7.1,41.379151588,0.0632202590030229
"21",1977-09-01,"Alabama",6.9,41.879745785,0.0749871836422642
"22",1977-10-01,"Alabama",6.8,42.334960388,0.0849899640412908
"23",1977-11-01,"Alabama",6.7,42.658255377,0.0893488460631742
"24",1977-12-01,"Alabama",6.6,42.778395517,0.0880644831135557
"25",1978-01-01,"Alabama",6.5,42.779957866,0.0859603741134014
"26",1978-02-01,"Alabama",6.4,42.803358513,0.08591901506106
"27",1978-03-01,"Alabama",6.2,42.984400599,0.0895651841699885
"28",1978-04-01,"Alabama",6.1,43.403429045,0.0957904788770219
"29",1978-05-01,"Alabama",6,43.94508165,0.100791991784235
"30",1978-06-01,"Alabama",6,44.501789618,0.103155333799815
"31",1978-07-01,"Alabama",6.1,45.127224861,0.104755072571054
"32",1978-08-01,"Alabama",6.3,45.805464058,0.106969628427172
"33",1978-09-01,"Alabama",6.4,46.380876979,0.107477519493735
"34",1978-10-01,"Alabama",6.5,46.748239963,0.10424669196693
"35",1978-11-01,"Alabama",6.6,46.996488506,0.101697387543398
"36",1978-12-01,"Alabama",6.7,47.22352974,0.103910728050413
"37",1979-01-01,"Alabama",6.8,47.437293109,0.108867223702936
"38",1979-02-01,"Alabama",6.9,47.666990585,0.113627347034529
"39",1979-03-01,"Alabama",7.1,47.956770288,0.115678469856706
"40",1979-04-01,"Alabama",7.2,48.322774795,0.113340025390614
"41",1979-05-01,"Alabama",7.3,48.756133479,0.109478732280385
"42",1979-06-01,"Alabama",7.3,49.203609956,0.105654634978954
"43",1979-07-01,"Alabama",7.3,49.588564212,0.0988613717050346
"44",1979-08-01,"Alabama",7.3,49.924735007,0.0899296848905204
"45",1979-09-01,"Alabama",7.3,50.204688332,0.0824437052954243
"46",1979-10-01,"Alabama",7.2,50.377322693,0.0776303606910618
"47",1979-11-01,"Alabama",7.2,50.469541083,0.0739002569640199
"48",1979-12-01,"Alabama",7.2,50.51296869,0.0696567784769746
"49",1980-01-01,"Alabama",7.3,50.544283218,0.065496783340079
"50",1980-02-01,"Alabama",7.5,50.616511603,0.0618776428258125
"51",1980-03-01,"Alabama",7.8,50.720998986,0.0576400095627723
"52",1980-04-01,"Alabama",8.3,50.787162531,0.0509984732138145
"53",1980-05-01,"Alabama",8.8,50.861545191,0.0431824995496584
"54",1980-06-01,"Alabama",9.2,51.140138152,0.0393574414099236
"55",1980-07-01,"Alabama",9.5,51.684403608,0.0422645710619873
"56",1980-08-01,"Alabama",9.7,52.323260382,0.0480428263597934
"57",1980-09-01,"Alabama",9.7,52.769714892,0.0510913750332969
"58",1980-10-01,"Alabama",9.6,52.804915302,0.0481882021359843
"59",1980-11-01,"Alabama",9.6,52.433238225,0.0389085594967187
"60",1980-12-01,"Alabama",9.6,51.820168768,0.0258785043108898
"61",1981-01-01,"Alabama",9.6,51.161323055,0.0122079055773465
"62",1981-02-01,"Alabama",9.7,50.675583755,0.00116705300561448
"63",1981-03-01,"Alabama",9.8,50.543904806,-0.00349153572564453
"64",1981-04-01,"Alabama",9.9,50.798577001,0.000224751087305464
"65",1981-05-01,"Alabama",10,51.361959711,0.00983875967827563
